Pathway	SRS011061	SRS011090	SRS011098	SRS011126
ko00010	20.611117669693716	22.860442591126493	23.68750268815116	20.78440972444619
ko00071	2.9641267944795953	4.0083398598529705	3.482269117177452	3.3765779598943713
ko00350	6.611097648400342	9.33201458360525	6.821391082203485	7.445968748864077
ko00625	2.616208768193952	3.896132399669311	2.4691861202301433	1.96171742327043
ko00626	1.6221802727081107	3.1500572693690714	1.5647858085117095	1.37192639923419
ko00980	0.5051434941670649	2.0875993948309937	1.1166821518591705	0.825884553538276
ko00982	0.486086104900251	2.0922743697171344	1.0966393342801704	0.8238975136777632
ko00561	3.7958159727910687	6.955540398949658	4.373470395815078	4.458275391005374
ko00930	0.16125756872210958	0.7395043590848148	0.3713961644081013	0.5266900518748104
ko00260	16.906797416815802	15.24089480603201	16.265038239626854	16.299380869084843
ko00270	15.075378169733991	15.958466387360296	14.287353689932461	14.526073489493603
ko00300	10.737033551851152	10.883967298143912	9.101558726471497	9.094057774196294
ko00650	10.273765555566024	9.575037412202093	11.51724718121893	10.408836227755105
ko00564	6.5983341657289065	10.618288485975535	8.407017186263706	9.499331737112401
ko00040	11.946021636343273	2.933168911180324	3.2123725334821818	3.3653163259069943
ko00051	20.96302735700167	19.410651264272374	15.806524297787927	14.62334260472179
ko00521	8.13179405515267	3.8177067822093393	5.2793145476287195	5.684054503371548
ko00562	2.319871862214458	1.768893266461327	2.70983309037662	2.5357807808279964
ko00052	14.862379907192263	15.543722305422452	8.14441567582148	8.27511564633771
ko00620	19.20033291916388	16.578864125410004	18.088763054482975	18.36771517465879
ko00053	2.0620741562462674	1.5005063707341815	1.4811738276562576	1.4778326943243367
ko00500	20.137820073102517	15.837732978120671	13.232631562020527	13.836957110295101
ko00520	31.88466844857366	31.970106234824158	22.037685439491636	22.337353856379337
ko00340	10.015569654658604	5.182054000663937	7.776776686556289	8.566354921354801
ko00400	12.595330120150903	14.834687040763324	12.8705395343421	12.752147731523689
ko00630	13.527930886679224	4.7638640754212425	8.728823242431076	10.370346972819128
ko00640	8.503537940442541	7.747537120832717	8.635895625820744	9.090119392552602
ko00680	21.075968911429865	12.99405851608809	13.514511322116762	15.647571740944878
ko00072	0.19651138135734472	0.8305252650366938	0.22203003503677976	0.4290373552553779
ko00280	5.513952462705396	3.436203481221353	5.716623027416603	5.3486255707563215
ko00900	7.304643565770731	7.708315685840057	7.2897961268800975	7.6007960283488964
ko00281	1.06530914793724	0.768685352521007	0.5367627492809931	0.8008965210971597
ko00310	1.5775442144146612	2.2006079620222962	2.862850591556584	3.5341759927353342
ko00380	0.9417915977537621	1.180976033950129	2.243369394738312	2.3976364637883587
ko00020	15.564803400893782	4.783600275034559	14.93780048773377	14.03410845391879
ko00710	13.973982665508904	9.120231776938786	10.816242130601296	11.65999936178584
ko00720	22.138870403655822	9.376016468744478	14.443365141364076	15.907366518645695
ko04964	0.9430073746151916	0.043944977226846246	1.2057051418284512	0.8073082006062361
ko02020	20.752541561045085	22.85338712822576	18.54283845047398	20.339088620159743
ko00480	3.130720947471651	5.6639920225587606	5.560080958751207	5.650699702710425
ko04146	3.777227878109816	2.1923262901949667	4.044514977061372	4.082582814716205
ko00030	14.442310838986286	12.33602331542589	12.055040417638054	12.003931122146875
ko00120	0.8792599641423378	0.009494865555480101	0.01032857714853884	0.02274502601124628
ko00290	7.968171413541342	9.746897512413645	9.168019283568025	7.906916913383851
ko00770	8.91943628381602	9.3585847254076	9.286413634837793	8.47722433005619
ko00360	4.2949342729963425	2.1100027035207196	2.3987826458504182	3.2393864748845225
ko00622	0.23628713648408817	1.4651836516050099	0.3462581524697252	0.4585036156731201
ko00623	2.8807680945350107	0.6414442253274402	3.41529290163589	3.106010795544247
ko00061	9.002853465411524	9.89840102640555	7.620352388039661	9.9743925267239
ko00780	8.989823146122234	4.969870244612946	4.9330979839497315	7.3198450006566
ko01040	2.206919272496201	1.7070514406804287	2.1372715473009603	2.3017792924489586
ko00523	5.484800968696813	1.9780968078584509	3.722197382488875	3.7856564330672664
ko00790	6.7744252956669415	9.780960294457836	7.038436546584378	7.524168927242157
ko00230	39.53047335961248	46.29338347422647	46.76050151217242	41.685083191545786
ko00362	3.104825638616103	4.389754135751923	2.6431751754389046	3.3865321387321115
ko00550	11.252805865773212	16.537015251680682	11.428099087343238	12.049179368117933
ko05204	0.03904393311854758	0.08582483444357004	0.21649606538534588	0.3852087118812358
ko00740	4.432174460124097	2.8248580831534076	4.130831122113783	4.082603844156546
ko00940	4.100776268909502	0.8574097200415455	0.413787429087764	0.7067799164982499
ko00983	6.813258039392539	5.461909021482754	5.182498924305797	4.962781526962398
ko00750	4.2710665815103255	3.2003997956769115	3.2613386108171074	3.324587009323895
ko00363	2.6091903721744485	1.1685907756531713	1.2244230625652297	1.2277162860037198
ko00591	1.9391390278865486	0.8511046609388958	0.9090747883040199	0.9971622132019378
ko00232	0.0004324515932179876	0.0005514161294417252	0.0008344142410040286	0.0009912776496095819
ko00440	1.781780160296422	0.9897469324030634	0.7302116286624358	1.0146689493897834
ko00330	20.816736512688212	9.053089804018942	13.183640531082409	13.472708402081489
ko00410	2.2778036763482277	1.3655520388565348	2.6405078957591526	2.1179670464627463
ko00903	2.2241713251130277	2.8456960217737537	1.996219406324913	2.5181010558594945
ko00621	0.2273499412274808	1.4605784508403716	0.3310182069419698	0.46816923317845655
ko00250	22.428468311245265	12.37007893478494	15.496138043888319	15.008542555841505
ko00627	2.2491674222986515	4.874675252656655	2.3943161869922127	3.139666057005163
ko00643	0.09730655995494217	0.03408333902260365	0.09255416608451351	0.3069865148342462
ko00760	6.874208101807573	4.986422945932862	5.554537878985036	6.25128111028936
ko00633	0.698773570025528	0.2510332509535237	0.3454162574059665	0.5235298014661512
ko00351	0.015123740311961868	0.0012544084343599896	0.009899427242727528	0.04368486492555687
ko00240	33.83107024264733	36.182866119802846	38.83263140368211	33.99869015961842
ko00401	2.014170345502901	1.1175209313107317	1.8883536263111314	1.8526110160702403
ko00860	9.515141812826565	3.616606971580964	11.137798651101198	13.52546977873954
ko01053	0.23742597166063512	0.12286150657877956	1.0647111250902666	0.7741292633635096
ko00361	0.20314023740305157	0.017702581196304107	0.23344372737616473	0.27398643649240917
ko00364	0.1611633358156207	0.00676103525500526	0.031009562711129996	0.061299970821191575
ko00624	2.3552055366316456	4.258259874967115	2.540715333126508	2.841358169758331
ko00592	0.18948749907059134	0.02636006900212716	0.10565651987932721	0.2389149471870086
ko00190	20.24906680926979	12.09593128002053	21.00115864085229	20.499003510037713
ko05134	3.0863424859944444	1.827942567563622	3.491895192359162	3.3399172738723135
ko00430	2.9391665422994513	2.390305552321434	2.259166065714398	2.3874118433245988
ko00910	19.844400329617418	6.736624167927441	16.268920215147904	16.28707076736812
ko00471	3.068444195313852	2.385013514673512	2.683063412075604	2.640810681174309
ko00311	0.5393574362778452	1.0527926716278866	0.23485557478584737	0.33385566548318585
ko00472	0.006704852858027411	0.011014541659761647	0.03224945499924761	0.11983960483231466
ko00960	2.3476838407471465	0.8268596710332368	1.5965138931645584	1.77316548697487
ko00908	1.144916543635178	0.8334633727684344	0.672485132784521	0.776828431821566
ko00670	10.11227224627391	9.296826384012551	9.652926301414052	8.9736954606304
ko00130	2.681987514103981	0.9931507009948622	4.08376679773622	3.9012317617680914
ko00920	5.085184382384853	4.984055624137808	5.0346333051111785	6.0436197697375285
ko00450	5.63186201331181	6.216810368385775	5.7999518994275165	6.769719877881035
ko00941	0.07951704958503786	0.012260979392045788	0.050413057688046846	0.1410649270198948
ko00945	0.08052777639790484	0.07524265358479038	0.18984179194730164	0.18683472318685648
ko00965	0.001546742726856992	7.130484819520115e-05	0.0022368555918511517	0.0021474715689452145
ko00906	0.015154056041514083	0.009816908908840695	0.09547910267247131	0.20478286517422514
ko00642	1.4324040629947046	1.782780763271273	0.9187541560620124	1.4508305803833916
