KO	SRS011061	SRS011090	SRS011098	SRS011126
K00201	0.0001656655385345912	5.211249061279951e-05	6.419515448228377e-06	0.00012025839799701775
K00202	0.0002604896138562104	0.0	0.0008691821325650852	0.0004069114928908778
K00203	1.8944853993170502e-05	0.0	0.0	0.0
K00204	0.02301956137667705	0.0	0.0	7.550829411209703e-05
K00205	0.0358231695057793	0.0014482849424114577	0.0013692995950735595	0.0014823753971920132
K00206	4.539275299581025e-06	0.0	2.273877096326789e-06	3.1337230593996577e-05
K00207	0.020357170730923975	0.0	0.0002916061040091893	0.0005626555955201048
K00208	0.660001939343107	0.13575970663097542	0.21317954586264767	0.6264782730391554
K00209	4.081741059478562e-05	1.8500824124925545e-05	0.0009939348929304196	0.0009115397467558404
K00210	0.49641102778030227	0.0032772960900407	0.0436607379677129	0.050849263314176364
K00211	0.00015632404102868672	0.0	0.0	0.0
K00212	0.004318204071191541	0.0	1.1369663349990207e-05	1.66245744435805e-05
K00213	0.0001544012506411482	0.0	0.0	0.00019528802202715623
K00214	0.0012490995049903805	0.00030504032848003947	0.0012509832748584943	0.000836215177121619
K00215	0.7837889613357418	0.7324227321942062	0.7748483723250256	0.7421408463903547
K00216	0.0065444878826085495	0.005478626393451118	0.2509852957154161	0.14374726416979505
K00217	9.142075998672907e-05	4.40253869486026e-06	0.0001548822722555769	6.025127096644059e-07
K00218	0.00045209934180338743	0.001404718480875703	0.007755102040833257	0.0034631940685380495
K00219	0.030563663755216425	0.0017319302078339003	0.0168368988888388	0.024347463677438147
K00220	0.001034962620284655	0.0008368086372193346	0.0005376751517548864	0.0023656265066336513
K00221	0.0	0.0	0.0	4.164651657159831e-05
K00222	0.0002104980098048126	0.0	0.001785521040950588	0.00033876574142669406
K00223	3.1573306087811307e-06	0.0	0.0	6.0396031058098316e-06
K00224	0.013844043488571121	2.53017077428978e-05	0.00797386017163374	0.04174639363651071
K00225	0.0001237851299472357	0.0	0.0012484319386879363	0.0006899335016032119
K00226	1.2140682980790514	1.3254318122018587	0.8569660318655408	0.8732017504378033
K00227	0.0	0.0	0.0	0.0
K00228	0.003940797922521846	0.007431412325789042	0.02381437387439416	0.13625056566159502
K00230	0.01032441470780529	0.11660636087879965	0.09867911516652116	0.10254143973393065
K00231	0.03788653881163043	0.030796231457215686	0.3069510017154882	0.1482471575114312
K00232	0.0013442125901286534	0.0008799020803064457	0.0016681646293884226	0.0007478967246488532
K00234	0.0014385735875254522	9.566871153676147e-05	0.004358829012492309	0.002585878862683734
K00235	0.002161055571713427	0.0004967766475188092	0.008847478092598745	0.0109721737565331
K00236	0.0005418626706664997	0.0	0.0	0.0001143456757543173
K00237	0.0	0.0007973140354814188	0.0	0.00012234397907722976
K00239	0.8974630046108981	0.036254815522836	0.9238918738666374	0.7266364733775552
K00240	0.8647069814055888	0.04149590863434834	0.9491627323091586	0.7114206341089298
K00241	0.7654834292334789	0.024758468005470175	0.709185568026971	0.547518671462299
K00242	0.0007451581394550573	0.003328362575951281	0.3870907442077978	0.1384966898765754
K00243	0.5624481165854237	0.5884349428967214	0.10415160494210358	0.1460848807086566
K00244	0.1587912672674996	0.23588015565695505	0.11151359912729637	0.3366794205158007
K00245	0.025493125965101508	0.11572469351374653	0.0770139767754389	0.21998675704093465
K00246	0.004480399599819962	0.10888006788017905	0.059680047288272246	0.1379196223910671
K00247	0.0	0.06399890766881701	0.048934627694470455	0.11690746081636279
K00248	0.1519056437318219	0.007207923302743757	0.03796686294276895	0.1656933379534411
K00249	0.027735955707173653	0.008921956833415364	0.12284153171116013	0.03825982093647862
K00251	0.017400709043647725	0.0019376639715972498	0.004149488090824273	0.005988234235150426
K00252	0.006072517341747339	0.005994118966581373	0.02423173205416951	0.09860431049662285
K00253	0.008295527915909229	0.003512942174720156	0.008352670440635653	0.017670225660490556
K00254	0.0010461162235708063	0.00046470550944569596	0.006410168969194097	0.00808935174852686
K00255	0.008828989908277018	0.0005095042571660256	0.06352271320722867	0.00936365979158886
K00256	0.0007379683697404858	0.00037493880019178225	0.00027915558351133897	0.0005704361421806889
K00257	0.6513931361323764	0.02690221684723461	0.10210649428740073	0.2527900843037721
K00258	2.8238671973773875e-08	0.0011340836608723544	0.0005157639736186939	0.0005000955613893148
K00259	0.5135766029742346	0.7012717856693415	0.22432155929640485	0.2794880868858104
K00260	0.007862864602885633	0.030697287702542993	0.32288396977888595	0.16602058947234385
K00261	0.01860982018475196	0.017387426487064254	0.13769485514252788	0.15722277640980417
K00262	1.6796484580992832	0.768498922298787	0.6131593372598932	0.8246442341955608
K00263	0.00010110992069904502	1.8463714121345556e-05	0.0002936779910631154	0.0002609084867148192
K00264	0.017994006948502422	0.00027771302897631534	0.0010421627247303585	0.0009783661345262357
K00265	0.42430473271121594	0.0059547657827238145	0.02174496237416866	0.06709543931729499
K00266	1.30354309012734	0.017974359474551876	0.059736126162460275	0.18095800601011017
K00270	3.220680994159216e-06	0.0	0.0	0.0
K00271	0.00023169553217232218	0.0	0.0001514402418973032	0.0
K00272	5.0801872178038894e-05	0.0	4.924892199737401e-05	2.8061262865324312e-08
K00273	0.0015768442114032404	0.0019129353476426514	0.00133973946058653	0.005012299675585734
K00274	0.006235185881535118	0.001081086089360113	0.023928198832466576	0.02050813998074454
K00275	0.13967073692757334	0.09759930949068127	0.1923030482151945	0.3838805815557514
K00276	0.00022139571404499389	0.0	0.00029701695754451735	0.0005292497999379334
K00277	0.0004482154471242121	0.0004176416373263566	0.005229885493010968	0.0033707892877507155
K00278	0.8512119728558674	0.008672378648827882	0.03088112036503103	0.15178995729950356
K00279	0.0	0.0	0.0	0.0
K00280	0.0005958143241948719	1.7839817424650923e-05	0.002396528161955355	0.0021367255365935555
K00281	0.45933925070104137	0.013554319097316098	0.46358889638367645	0.31013678225660185
K00282	0.11406096640884174	0.0008310982805536336	0.0032950936037346914	0.010889953970216719
K00283	0.15047431194532895	0.0011383457033347804	0.007814868985116638	0.013722171598674282
K00284	0.048915976661406235	0.0024081173865983904	0.006467056187509955	0.023283070097627093
K00285	0.003941701373847642	0.12986696965845076	0.034759909162359756	0.15390192565476532
K00286	0.5841451387440688	0.64262237523552	0.47930411674573214	0.4400065598273704
K00287	0.5252221378670698	1.0167848399986221	0.6687481528086221	0.6671344037029449
K00288	0.011648798669815733	0.0018914642115202347	0.01952216757481839	0.013247669226934466
K00289	5.283582018935912e-05	6.950201398580894e-09	0.0007109487686653948	0.0016029997644855022
K00290	0.7251544972688065	0.5085582202809172	0.06948980854886135	0.20281899933073053
K00291	0.0	0.0	0.0	0.0
K00292	0.0	0.0	0.0	0.0
K00293	0.00015730317414093184	0.0	0.0	0.0
K00294	0.1886382718056351	0.00038610252309019647	0.04478170919324963	0.08648392040912715
K00295	0.0	0.0	0.0015268761793625501	0.00010620680471083075
K00296	0.0	0.0	0.0	0.0
K00297	0.6624947081852868	0.7503828035851314	0.5185729694783426	0.6283845686240649
K00298	0.0005696757271936958	0.0	0.0	0.0
K00299	0.0017030625107825788	0.005146830776430218	0.05735807876815543	0.02615348762075631
K00300	7.071848030944474e-06	0.0	0.00014591419932239176	0.000282141610881333
K00301	0.0005851715729732015	0.00014264870822062816	0.0023233932265854193	0.0022307579436206103
K00302	0.03486229462430439	0.00013709342358116076	0.009975572850787338	0.026625992451266046
K00303	0.0018087048244728441	0.00024800795841348466	0.01509688762251266	0.008454951128057622
K00304	0.0011477994338058447	0.0	0.0060042286502486	0.002881342347751302
K00305	1.0353457593351577e-06	0.0	0.00567513154539056	0.002857963716266727
K00306	0.0017028401955338731	0.0	4.102417201571297e-06	3.030023538924134e-05
K00308	1.294451815526449e-05	0.0	1.6942387798076432e-05	8.645580686491768e-05
K00309	0.00020040347852331086	0.0008881482059439322	0.00021813115888762825	0.0008341066613073276
K00310	0.0	0.0	0.0	0.0
K00311	0.002864626569497075	0.004515526708477186	0.03951615551541509	0.14147031370041074
K00312	0.0	0.0	6.150741024233879e-05	6.561158672601972e-05
K00313	0.0019358076547335075	0.008971940741036874	0.02792273240529706	0.03213945304362881
K00314	0.00017447111438970896	0.0	4.976676745712142e-06	2.317320532628026e-05
K00315	0.0007475373856170875	0.0	0.0003589724935658651	0.0003529532168426115
K00316	0.0006202358906656857	0.0019625340134423537	0.006517325088233986	0.00029921935592901855
K00317	0.00038246736814050435	0.07640857089910391	0.0033225217305684674	0.011619155188029221
K00318	0.1384040130260599	0.0008924833955898075	0.04489401850607134	0.07445107688440361
K00319	0.0	0.0	0.0	0.0
K00320	6.517620848414347e-05	0.0	0.00046408400716439855	0.0009213252330158051
K00321	2.7194452524934955e-05	0.0	2.282556691447226e-05	9.293795168173512e-05
K00322	0.0016019232633903212	0.0013500775360151464	0.006014181387383163	0.018365000117171203
K00323	0.00016041606062083515	2.4706338447109118e-05	0.0020909033498346797	0.0020073169197955994
K00324	0.0029601653646882894	0.07610135273521258	0.1846384301958551	0.3566622317965731
K00325	0.0012336840711089172	0.0911657710201435	0.17468215656167782	0.2617222998356264
K00326	0.00010104464515848254	0.0007116245501449109	0.0010858991944405958	0.0011150472813073146
K00327	0.009690012132745502	0.0011732710444472922	0.0027635113458682457	0.005174322469747505
K00328	0.00019047213609369132	0.0	0.002604257447510039	0.004601398032295959
K00329	0.014394439280662854	0.002296324110286444	0.015141498114341885	0.012080340617824897
K00330	0.4355633444713178	0.016866716081656005	0.22303780777108304	0.2902032929840118
K00331	0.4464364521308318	0.012301356636453374	0.22986831568918376	0.24209584005814877
K00332	0.08036932711766234	0.019736913969186153	0.16237663279242975	0.20212775139780437
K00333	0.12703518966525656	0.020436347322296173	0.23102828951888385	0.2556556929314491
K00334	0.4513548222292299	0.014671179034999824	0.20143177954460195	0.23666154128837896
K00335	0.5064767053808928	0.019944651965737657	0.254973463578176	0.2948124345716795
K00336	0.45673863531395686	0.028493021758839776	0.1701842266799194	0.21562965091096978
K00337	0.5799589899294946	0.020023016979861676	0.2660300956631334	0.2908222841765698
K00338	0.5285852472529387	0.010530609657337703	0.21071106496885444	0.26883453329641677
K00339	0.468664665827718	0.010860600977271042	0.08929979715607479	0.15701315787834294
K00340	0.5301225335408413	0.01679161830825809	0.3062851282371665	0.29084941128040737
K00341	0.522828701369307	0.021090965835390083	0.22458578678461186	0.25715754805475466
K00342	0.5776506954423201	0.01645323944484852	0.16753437357115392	0.2355397122312353
K00343	0.4507999801320688	0.01040625944821367	0.14562673194075224	0.19487026462464957
K00344	0.0051026079470430155	0.023693249978102234	0.6197776548428945	0.3520358275059469
K00346	0.4760810078902873	0.13464543122707917	0.13262552700239896	0.3535845385367416
K00347	0.6013532849423432	0.0941467625057465	0.14530693079364662	0.38451436935057476
K00348	0.5323929871343152	0.12488662186829191	0.13469236190607767	0.35175222596410566
K00349	0.688046771341244	0.12066749241720647	0.15305187801065598	0.40974257611358456
K00350	0.6730759679552886	0.10818712024410236	0.15777462860445599	0.44049484770023345
K00351	0.6252119681259061	0.14015633991046136	0.15545922788019026	0.4168696061756936
K00353	0.047798251277565464	0.010256112666141182	0.09566752805891966	0.07127572605075701
K00354	0.005456467599899084	0.0007490466483967496	0.01458682247506399	0.017182307702778874
K00355	0.034411609585899845	0.06164503135580991	0.21781539946142653	0.1583480580079182
K00356	0.051037431738349924	0.20022041684177067	0.05507551702455708	0.10073946019555988
K00357	0.0	0.0003499917099863764	0.0002310106069908118	0.0006389912663059692
K00358	0.20350359370153073	0.6881638106756977	0.6532936234289826	0.552273312971927
K00359	0.20717037625589557	0.666365950474581	0.08652262984677915	0.17359275065133972
K00360	1.5347793284627837e-05	2.8153033657428816e-05	0.007353557093105993	0.010191283075008955
K00362	0.01803009770039929	0.007621741293051003	0.26741387977464903	0.041587823382864895
